,title,price,average,ratings,link
0,Doppio Passo Primitivo,"7,95","3,9",44567 beoordeling,https://www.vivino.com/NL/nl/wines/1468965?cart_item_source=text-search
1,San Marzano 60 Sessantanni Old Vines Primitivo di Manduria,"28,55","4,5",66115 beoordeling,https://www.vivino.com/NL/nl/wines/1504641?cart_item_source=text-search
2,Luccarelli Primitivo,"8,95","3,8",33846 beoordeling,https://www.vivino.com/NL/nl/wines/1469382?cart_item_source=text-search
3,Vigneti del Salento Primitivo di Manduria Zolla,"9,95","4,2",22030 beoordeling,https://www.vivino.com/NL/nl/wines/3383504?cart_item_source=text-search
4,Conte di Campiano Primitivo di Manduria,"8,95","4,1",21459 beoordeling,https://www.vivino.com/NL/nl/wines/2028214?cart_item_source=text-search
5,Epicuro Primitivo di Manduria,-,"3,9",15286 beoordeling,https://www.vivino.com/NL/nl/wines/1481670?cart_item_source=text-search
6,Vigneti del Salento Primitivo I Muri,"6,44","3,8",16922 beoordeling,https://www.vivino.com/NL/nl/wines/2654536?cart_item_source=text-search
7,Varvaglione Papale Linea Oro Primitivo di Manduria,"18,93","4,4",19884 beoordeling,https://www.vivino.com/NL/nl/wines/1473640?cart_item_source=text-search
8,Tormaresca Primitivo Salento Torcicoda,"20,95","4,0",20346 beoordeling,https://www.vivino.com/NL/nl/wines/1469603?cart_item_source=text-search
9,Il Pumo Primitivo,"7,81","3,8",22228 beoordeling,https://www.vivino.com/NL/nl/wines/3677085?cart_item_source=text-search
10,Luccarelli Old Vines Primitivo di Manduria,"26,85","4,4",17745 beoordeling,https://www.vivino.com/NL/nl/wines/1469461?cart_item_source=text-search
11,San Marzano 62 Anniversario Primitivo di Manduria Riserva,"24,46","4,4",17664 beoordeling,https://www.vivino.com/NL/nl/wines/3671828?cart_item_source=text-search
12,Cantine due Palme Pillastro Primitivo Puglia,-,"4,1",15018 beoordeling,https://www.vivino.com/NL/nl/wines/3207934?cart_item_source=text-search
13,Varvaglione 12 e Mezzo Primitivo del Salento,"9,08","4,0",15903 beoordeling,https://www.vivino.com/NL/nl/wines/2169710?cart_item_source=text-search
14,Masseria Altemura Sasseo Primitivo Salento,"12,49","3,9",13883 beoordeling,https://www.vivino.com/NL/nl/wines/1491869?cart_item_source=text-search
15,Verosso Primitivo,-,"3,6",10090 beoordeling,https://www.vivino.com/NL/nl/wines/1468847?cart_item_source=text-search
16,Torrevento Primo Primitivo,-,"3,6",13134 beoordeling,https://www.vivino.com/NL/nl/wines/7201213?cart_item_source=text-search
17,Masso Antico Appassito Primitivo,"17,99","4,0",13352 beoordeling,https://www.vivino.com/NL/nl/wines/152489455?cart_item_source=text-search
18,San Marzano Talò Primitivo di Manduria,"12,95","4,0",20341 beoordeling,https://www.vivino.com/NL/nl/wines/4592917?cart_item_source=text-search
19,Cantolio Quattordici 14 Apulien Primitivo di Manduria,-,"3,8",8835 beoordeling,https://www.vivino.com/NL/nl/wines/1710195?cart_item_source=text-search
20,Peuceta Primitivo,-,"3,7",7619 beoordeling,https://www.vivino.com/NL/nl/wines/142254109?cart_item_source=text-search
21,Corterosso Supremo Primitivo di Manduria Riserva,-,"4,1",8911 beoordeling,https://www.vivino.com/NL/nl/wines/62907698?cart_item_source=text-search
22,Caleo Primitivo Salento,"5,95","3,5",11871 beoordeling,https://www.vivino.com/NL/nl/wines/1481783?cart_item_source=text-search
23,Fauno Primitivo,-,"3,7",8802 beoordeling,https://www.vivino.com/NL/nl/wines/3009263?cart_item_source=text-search
24,Poggio le Volpi Tator Primitivo,"17,95","4,1",11651 beoordeling,https://www.vivino.com/NL/nl/wines/1599019?cart_item_source=text-search
25,Luna Argenta Appassite Negroamaro - Primitivo,"8,50","4,0",10541 beoordeling,https://www.vivino.com/NL/nl/wines/2132949?cart_item_source=text-search
26,Grifone Primitivo,-,"3,5",9109 beoordeling,https://www.vivino.com/NL/nl/wines/1475574?cart_item_source=text-search
27,Notte Rossa Primitivo Salento,-,"3,7",7377 beoordeling,https://www.vivino.com/NL/nl/wines/3301566?cart_item_source=text-search
28,Giordano Collection Primitivo di Manduria,"11,95","3,8",8223 beoordeling,https://www.vivino.com/NL/nl/wines/1474534?cart_item_source=text-search
29,Cielo e Terra Primitivo Puglia Primasole,"5,48","3,8",6612 beoordeling,https://www.vivino.com/NL/nl/wines/5513894?cart_item_source=text-search
30,Santoro Primitivo,"6,29","3,5",7390 beoordeling,https://www.vivino.com/NL/nl/wines/3005624?cart_item_source=text-search
31,Notte Rossa Primitivo di Manduria,-,"3,9",7521 beoordeling,https://www.vivino.com/NL/nl/wines/3280617?cart_item_source=text-search
32,Varvaglione Papale Primitivo di Manduria,"12,66","4,1",11940 beoordeling,https://www.vivino.com/NL/nl/wines/2115657?cart_item_source=text-search
33,Contessa Carola Old Esteemed Vineyards Primitivo di Manduria,-,"4,0",7549 beoordeling,https://www.vivino.com/NL/nl/wines/1469336?cart_item_source=text-search
34,Zensa Puglia Primitivo,"12,95","3,9",12909 beoordeling,https://www.vivino.com/NL/nl/wines/5381801?cart_item_source=text-search
35,Conte di Campiano Paolo e Carlo Primitivo di Manduria Riserva,"10,95","4,2",8401 beoordeling,https://www.vivino.com/NL/nl/wines/74054089?cart_item_source=text-search
36,Vecchia Torre Primitivo Salento,-,"3,7",7152 beoordeling,https://www.vivino.com/NL/nl/wines/5686975?cart_item_source=text-search
37,Sani Grande Corterosso Primitivo di Manduria,"9,95","3,9",4997 beoordeling,https://www.vivino.com/NL/nl/wines/10449712?cart_item_source=text-search
38,Castello Monaci Primitivo Salento Pilùna,"10,76","3,8",9841 beoordeling,https://www.vivino.com/NL/nl/wines/1988602?cart_item_source=text-search
39,Doppio Passo Organic Primitivo Puglia,-,"3,8",7050 beoordeling,https://www.vivino.com/NL/nl/wines/6916658?cart_item_source=text-search
40,Gran Rosso Negroamaro - Primitivo,"11,47","3,6",4777 beoordeling,https://www.vivino.com/NL/nl/wines/1469291?cart_item_source=text-search
41,Mandorla Primitivo Puglia,-,"3,7",7646 beoordeling,https://www.vivino.com/NL/nl/wines/3097732?cart_item_source=text-search
42,Marchesi del Salento Primitivo,-,"3,5",8958 beoordeling,https://www.vivino.com/NL/nl/wines/4991739?cart_item_source=text-search
43,Messapi Puglia Primitivo,-,"3,7",5652 beoordeling,https://www.vivino.com/NL/nl/wines/3052111?cart_item_source=text-search
44,Brunilde di Menzione Primitivo di Manduria,"12,49","4,2",7599 beoordeling,https://www.vivino.com/NL/nl/wines/11325081?cart_item_source=text-search
45,Mandorla Negroamaro - Primitivo Appassite,-,"3,8",5581 beoordeling,https://www.vivino.com/NL/nl/wines/1522429?cart_item_source=text-search
46,Azienda Vinicola Losito e Guarini Selezione Luigi Guarini Primitivo di Manduria,-,"3,8",4653 beoordeling,https://www.vivino.com/NL/nl/wines/102702930?cart_item_source=text-search
47,Messeri Negroamaro - Primitivo,"6,97","3,5",4012 beoordeling,https://www.vivino.com/NL/nl/wines/5038211?cart_item_source=text-search
48,Pietra Pura Mandus Primitivo di Manduria,"11,50","4,1",8359 beoordeling,https://www.vivino.com/NL/nl/wines/1472244?cart_item_source=text-search
49,Luccarelli Campo Marina Primitivo di Manduria,"13,45","4,2",9822 beoordeling,https://www.vivino.com/NL/nl/wines/3661197?cart_item_source=text-search
50,Brondello Maturo Primitivo,-,"3,7",5987 beoordeling,https://www.vivino.com/NL/nl/wines/143978813?cart_item_source=text-search
51,San Marzano I Tratturi Primitivo,"8,58","3,7",8290 beoordeling,https://www.vivino.com/NL/nl/wines/1510919?cart_item_source=text-search
52,Layer Cake Primitivo (a.k.a. Zinfandel),-,"3,7",6235 beoordeling,https://www.vivino.com/NL/nl/wines/3697488?cart_item_source=text-search
53,Cantine due Palme Sangaetano Primitivo di Manduria,"10,30","3,9",6660 beoordeling,https://www.vivino.com/NL/nl/wines/2310653?cart_item_source=text-search
54,Epicuro Primitivo,"8,95","3,7",5732 beoordeling,https://www.vivino.com/NL/nl/wines/1479906?cart_item_source=text-search
55,Pasqua Desire Lush & Zin Primitivo,"10,95","4,2",7796 beoordeling,https://www.vivino.com/NL/nl/wines/154437205?cart_item_source=text-search
56,Terre di San Vincenzo Dal 1947 Primitivo di Manduria,-,"4,5",7537 beoordeling,https://www.vivino.com/NL/nl/wines/68406909?cart_item_source=text-search
57,Terre di Faiano Organic Primitivo,-,"4,2",8064 beoordeling,https://www.vivino.com/NL/nl/wines/9974210?cart_item_source=text-search
58,San Marzano Vindoro Primitivo di Manduria,-,"3,9",4517 beoordeling,https://www.vivino.com/NL/nl/wines/3300748?cart_item_source=text-search
59,Masseria La Volpe 1 Uno Primitivo di Manduria,"12,95","4,2",6194 beoordeling,https://www.vivino.com/NL/nl/wines/22363383?cart_item_source=text-search
60,Tommasi Surani Costarossa Primitivo di Manduria,"11,66","3,9",6979 beoordeling,https://www.vivino.com/NL/nl/wines/3727386?cart_item_source=text-search
61,Luccarelli Pazzia Primitivo di Manduria,-,"4,4",11347 beoordeling,https://www.vivino.com/NL/nl/wines/1470544?cart_item_source=text-search
62,Masseria Trajone Primitivo di Manduria,"11,25","3,9",9405 beoordeling,https://www.vivino.com/NL/nl/wines/1468848?cart_item_source=text-search
63,Tormaresca Primitivo Salento,-,"3,6",5689 beoordeling,https://www.vivino.com/NL/nl/wines/11686227?cart_item_source=text-search
64,Ca'dè Monaci Primitivo di Manduria,-,"3,6",3618 beoordeling,https://www.vivino.com/NL/nl/wines/20998188?cart_item_source=text-search
65,A Mano Primitivo,"8,69","3,4",6451 beoordeling,https://www.vivino.com/NL/nl/wines/1472133?cart_item_source=text-search
66,Il Teo Primitivo di Manduria,-,"4,2",5373 beoordeling,https://www.vivino.com/NL/nl/wines/9040051?cart_item_source=text-search
67,Leone de Castris Villa Santera Primitivo di Manduria,"13,14","4,0",7340 beoordeling,https://www.vivino.com/NL/nl/wines/1563406?cart_item_source=text-search
68,Feudi Salentini 125 Uno Due Cinque Primitivo del Salento,"7,49","3,9",5839 beoordeling,https://www.vivino.com/NL/nl/wines/3074757?cart_item_source=text-search
69,Latentia Winery Primitivo,-,"3,6",3332 beoordeling,https://www.vivino.com/NL/nl/wines/158433596?cart_item_source=text-search
70,Paololeo Primitivo di Manduria,"13,95","3,9",5261 beoordeling,https://www.vivino.com/NL/nl/wines/1595525?cart_item_source=text-search
71,Torrevento Primitivo Puglia Infinitum,-,"3,7",6431 beoordeling,https://www.vivino.com/NL/nl/wines/3735839?cart_item_source=text-search
72,Poggio Vecchio Primitivo di Manduria,-,"3,7",3484 beoordeling,https://www.vivino.com/NL/nl/wines/1487162?cart_item_source=text-search
73,Ultimo Passo Primitivo,"4,99","3,5",3671 beoordeling,https://www.vivino.com/NL/nl/wines/1571606?cart_item_source=text-search
74,Varvaglione Moi Primitivo Puglia,"6,99","3,6",6477 beoordeling,https://www.vivino.com/NL/nl/wines/1471748?cart_item_source=text-search
75,Amore Passo Primitivo - Malvasia Nera,-,"3,7",3841 beoordeling,https://www.vivino.com/NL/nl/wines/1503776?cart_item_source=text-search
76,Latentia Winery 90 Novantaceppi Primitivo,-,"3,8",3187 beoordeling,https://www.vivino.com/NL/nl/wines/155047797?cart_item_source=text-search
77,San Marzano Sud Primitivo di Manduria,"13,18","4,0",6255 beoordeling,https://www.vivino.com/NL/nl/wines/1478647?cart_item_source=text-search
78,Faunus Gold Collection Primitivo di Manduria,-,"3,8",2517 beoordeling,https://www.vivino.com/NL/nl/wines/34912463?cart_item_source=text-search
79,Torri d'Oro Primitivo di Manduria,-,"4,0",3882 beoordeling,https://www.vivino.com/NL/nl/wines/146683790?cart_item_source=text-search
80,Menhir Quota 29 Primitivo,"9,95","3,9",5454 beoordeling,https://www.vivino.com/NL/nl/wines/2025020?cart_item_source=text-search
81,Paololeo Passo del Cardinale Primitivo di Manduria,"13,49","4,0",5611 beoordeling,https://www.vivino.com/NL/nl/wines/2100797?cart_item_source=text-search
82,Rinforzo Primitivo Salento,-,"4,3",5115 beoordeling,https://www.vivino.com/NL/nl/wines/4975582?cart_item_source=text-search
83,Produttori Vini Manduria Lirica Primitivo di Manduria,-,"3,8",4494 beoordeling,https://www.vivino.com/NL/nl/wines/1366776?cart_item_source=text-search
84,Vecchia Torre Barocco Reale Primitivo,-,"4,1",3838 beoordeling,https://www.vivino.com/NL/nl/wines/23773976?cart_item_source=text-search
85,Parta Adoeno Primitivo di Manduria,-,"3,5",2302 beoordeling,https://www.vivino.com/NL/nl/wines/160779275?cart_item_source=text-search
86,Contessa Carola Primitivo di Manduria,-,"4,1",3760 beoordeling,https://www.vivino.com/NL/nl/wines/155201195?cart_item_source=text-search
87,Masseria Pietrosa Primitivo di Manduria,-,"4,0",5888 beoordeling,https://www.vivino.com/NL/nl/wines/1469665?cart_item_source=text-search
88,Adriatico Primitivo di Puglia,-,"3,7",1990 beoordeling,https://www.vivino.com/NL/nl/wines/144937776?cart_item_source=text-search
89,Duca di Sargento Primitivo,-,"3,3",4018 beoordeling,https://www.vivino.com/NL/nl/wines/45940462?cart_item_source=text-search
90,Polvanera 14 Primitivo Gioia del Colle,"15,24","4,0",5559 beoordeling,https://www.vivino.com/NL/nl/wines/3877402?cart_item_source=text-search
91,Vigneti del Salento Vigne Vecchie Primitivo di Manduria,"21,45","4,3",5701 beoordeling,https://www.vivino.com/NL/nl/wines/6187982?cart_item_source=text-search
92,Itinera Prima Classe Primitivo,-,"3,9",3936 beoordeling,https://www.vivino.com/NL/nl/wines/9471409?cart_item_source=text-search
93,Zonin 20 Ventiterre Primitivo Salento,-,"3,4",1956 beoordeling,https://www.vivino.com/NL/nl/wines/154436981?cart_item_source=text-search
94,Masca del Tacco Lu Rappaio Primitivo di Manduria,"14,50","4,2",5803 beoordeling,https://www.vivino.com/NL/nl/wines/49967624?cart_item_source=text-search
95,Feudo Monaci Primitivo,"8,95","3,3",4023 beoordeling,https://www.vivino.com/NL/nl/wines/3355919?cart_item_source=text-search
96,Vigneti del Salento Vigne Vecchie Leggenda Primitivo di Manduria,"21,42","4,4",4464 beoordeling,https://www.vivino.com/NL/nl/wines/155856182?cart_item_source=text-search
97,Li Veli Orion Primitivo,"12,75","4,0",6126 beoordeling,https://www.vivino.com/NL/nl/wines/1565167?cart_item_source=text-search
98,Sommelier's Collection Primitivo di Manduria,-,"3,9",2583 beoordeling,https://www.vivino.com/NL/nl/wines/159015650?cart_item_source=text-search
99,Botter Primitivo,-,"3,6",2906 beoordeling,https://www.vivino.com/NL/nl/wines/2438619?cart_item_source=text-search
100,Farnese Fantini Primitivo Puglia,"6,95","3,6",4262 beoordeling,https://www.vivino.com/NL/nl/wines/2695435?cart_item_source=text-search
101,Conte di Campiano Carlo Scala Primitivo di Manduria,"10,99","4,0",2137 beoordeling,https://www.vivino.com/NL/nl/wines/151915027?cart_item_source=text-search
102,Bacca Nera Negroamaro - Primitivo Salento,"9,00","3,7",3630 beoordeling,https://www.vivino.com/NL/nl/wines/1472598?cart_item_source=text-search
103,Conte di Campiano Vincenzo Tribute Primitivo di Manduria,-,"4,1",2837 beoordeling,https://www.vivino.com/NL/nl/wines/165042095?cart_item_source=text-search
104,Via Cassia Primitivo,-,"3,5",5289 beoordeling,https://www.vivino.com/NL/nl/wines/10740966?cart_item_source=text-search
105,Pirovano Collezione Beatrice Primitivo,-,"4,0",2542 beoordeling,https://www.vivino.com/NL/nl/wines/158111740?cart_item_source=text-search
106,Codici Masserie Primitivo,"5,99","4,0",3340 beoordeling,https://www.vivino.com/NL/nl/wines/154169612?cart_item_source=text-search
107,Botter Oltre Passo Primitivo,-,"3,6",2982 beoordeling,https://www.vivino.com/NL/nl/wines/10471706?cart_item_source=text-search
108,Primitivo di Manduria,-,"3,2",1122 beoordeling,https://www.vivino.com/NL/nl/wines/14995031?cart_item_source=text-search
109,Feudi di San Gregorio Primitivo,"10,76","3,7",4819 beoordeling,https://www.vivino.com/NL/nl/wines/1932917?cart_item_source=text-search
110,Cantele Primitivo,"9,78","3,7",4690 beoordeling,https://www.vivino.com/NL/nl/wines/1769346?cart_item_source=text-search
111,Il Capolavoro Primitivo,-,"3,4",2351 beoordeling,https://www.vivino.com/NL/nl/wines/1529940?cart_item_source=text-search
112,Vigneti del Salento Primitivo - Merlot Zolla,"8,29","4,1",3834 beoordeling,https://www.vivino.com/NL/nl/wines/7575540?cart_item_source=text-search
113,Ronco di Sassi Primitivo Appassimento,"24,99","4,2",2904 beoordeling,https://www.vivino.com/NL/nl/wines/148186353?cart_item_source=text-search
114,Rocca Primitivo,"9,45","3,6",2773 beoordeling,https://www.vivino.com/NL/nl/wines/4311578?cart_item_source=text-search
115,Borgo del Mandorlo Primitivo di Manduria,-,"4,0",2491 beoordeling,https://www.vivino.com/NL/nl/wines/16388213?cart_item_source=text-search
116,Magnifico Rosso Fuoco Primitivo,-,"3,8",2430 beoordeling,https://www.vivino.com/NL/nl/wines/10881799?cart_item_source=text-search
117,Senza Parole Primitivo,-,"3,9",5491 beoordeling,https://www.vivino.com/NL/nl/wines/1662395?cart_item_source=text-search
118,Feudo Croce Imperio LXXIV Primitivo di Manduria,"14,95","4,1",3101 beoordeling,https://www.vivino.com/NL/nl/wines/151022539?cart_item_source=text-search
119,San Marzano Tramari Rosé di Primitivo,"9,85","4,0",7816 beoordeling,https://www.vivino.com/NL/nl/wines/142057504?cart_item_source=text-search
